reg real 11.18
plugin real 11.36
reg real 8.54
plugin real 10.30
reg real 8.90
plugin real 11.82
reg real 9.68
plugin real 11.90
reg real 9.64
plugin real 13.38
reg real 9.34
plugin real 11.27
reg real 9.20
reg real 9.10
plugin real 9.92
reg real 8.54
plugin real 9.70
reg real 8.16
plugin real 9.52
reg real 7.96
plugin real 9.46
reg real 8.44
plugin real 9.91
reg real 8.24
plugin real 9.83
reg real 8.34
plugin real 9.95
reg real 8.24
plugin real 9.75
reg real 7.96
plugin real 9.46
reg real 8.09
plugin real 9.59
reg real 8.20
plugin real 9.53
reg real 7.82
plugin real 10.02
reg real 8.16
plugin real 9.56
reg real 8.22
plugin real 9.25
reg real 7.96
plugin real 9.56
reg real 8.04
plugin real 9.44
reg real 8.10
plugin real 9.43
reg real 7.95
plugin real 9.27
reg real 8.14
plugin real 9.89
reg real 8.46
plugin real 9.64
reg real 8.05
plugin real 9.52
reg real 8.08
plugin real 9.56
reg real 8.00
plugin real 9.57
reg real 8.45
plugin real 9.64
reg real 7.94
plugin real 9.34
reg real 7.98
plugin real 9.60
reg real 8.24
plugin real 9.42
reg real 8.23
plugin real 9.55
reg real 8.17
plugin real 9.27
reg real 7.94
plugin real 9.70
reg real 8.15
plugin real 9.85
reg real 8.21
plugin real 9.25
reg real 8.04
plugin real 9.81
reg real 8.31
plugin real 9.74
reg real 7.96
plugin real 9.43
reg real 8.11
plugin real 9.83
reg real 7.91
plugin real 10.89
reg real 9.27
plugin real 13.00
reg real 9.04
plugin real 9.69
reg real 8.00
plugin real 9.61
reg real 8.26
plugin real 9.49
reg real 7.80
plugin real 9.27
reg real 7.84
plugin real 10.75
reg real 8.38
plugin real 10.23
reg real 9.42
plugin real 12.55
reg real 9.94
plugin real 11.16
reg real 9.70
plugin real 12.28
reg real 10.35
plugin real 12.05
reg real 9.59
plugin real 12.20
reg real 9.99
plugin real 12.73
plugin real 10.31
reg real 10.08
plugin real 12.05
reg real 11.45
plugin real 13.30
reg real 9.87
plugin real 10.28
reg real 8.81
plugin real 9.67
reg real 8.90
plugin real 10.48
reg real 8.31
plugin real 10.05
reg real 9.02
plugin real 12.28
reg real 8.82
plugin real 10.76
reg real 10.15
